,name,date,desc,earliestStartTime,logoImg,shortName,timeZone,units,url,shorturl,postponed,cancelled,finishers,allowSimulations,loc_desc,loc_coords,loc_country_iso
830,IRM-NEWZEALAND703-2022,2022-12-10,Nutri-Grain IRONMAN® 70.3® New Zealand,1670607900,/_imgss/events/IRM-NEWZEALAND703-2021/1616111715_im703nz-logo-large-2-7332.png,IM 70.3 NZ,Pacific/Auckland,metric,https://track.rtrt.me/e/IRM-NEWZEALAND703-2022,3060,0,,881,,"Taupo, New Zealand","['-38.68682', '176.0696']",NZ
831,IRM-NEWZEALAND-2022,2022-12-10,Nutri-Grain IRONMAN® New Zealand,1670611500,/_imgss/events/IRM-NEWZEALAND-2021/1612838614_ironman-newzealand-logo-nutri-grain-large-4533.png,IM New Zealand,Pacific/Auckland,metric,https://track.rtrt.me/e/IRM-NEWZEALAND-2022,3061,0,,411,,"Taupo, New Zealand","['-38.68682', '176.0696']",NZ
832,IRM-FLORIDA703-2022,2022-12-11,IRONMAN® 70.3® Florida,1670759400,/_imgss/events/IRM-FLORIDA703-2022/1668068951_im703fl-01-large-crop-large-9902.png,IM 70.3 Florida,America/New_York,standard,https://track.rtrt.me/e/IRM-FLORIDA703-2022,3653,0,,1546,,"Haines City FL, United States","['28.10669', '-81.627']",US
833,IRM-PUCON703-2023,2023-01-08,Subaru IRONMAN® 70.3® Pucon,1673175600,/_imgss/events/IRM-PUCON703-2023/1670797729_subaru-pucon-ironman-final-traz-large-1898.png,IRONMAN 70.3 Pucon,America/Montevideo,metric,https://track.rtrt.me/e/IRM-PUCON703-2023,3684,0,,1696,,"Pucón AR, Chile","['-39.27495', '-71.97026']",CL
834,IRM-OMAN703-2023,2023-02-04,IRONMAN® 70.3® Oman,1675476900,/_imgss/events/IRM-OMAN703-2023/1673985952_im22-ironman-703-oman-pos-8693.png,IM 70.3 Oman,Asia/Muscat,metric,https://track.rtrt.me/e/IRM-OMAN703-2023,3742,0,,433,,"Muscat, Oman","['23.61', '58.54']",AE
835,IRM-TASMANIA703-2023,2023-02-05,IRONMAN® 70.3® Tasmania,1675542000,/_imgss/events/IRM-TASMANIA703-2023/1673986427_703-tasmania-logo-9662.png,IM 70.3 Tasmania,Australia/Hobart,metric,https://track.rtrt.me/e/IRM-TASMANIA703-2023,3743,0,,830,,"Hobart TAS, Australia","['-42.8825', '147.3281']",AU
836,IRM-NEWZEALAND-2023,2023-03-04,Nutri-Grain IRONMAN® New Zealand,1677869100,/_imgss/events/IRM-NEWZEALAND-2021/1612838614_ironman-newzealand-logo-nutri-grain-large-4533.png,IM New Zealand,Pacific/Auckland,metric,https://track.rtrt.me/e/IRM-NEWZEALAND-2023,3745,0,,634,,"Taupo, New Zealand","['-38.68682', '176.0696']",NZ
837,IRM-NEWZEALAND703-2023,2023-03-04,Nutri-Grain IRONMAN® 70.3® New Zealand,1677865500,/_imgss/events/IRM-NEWZEALAND703-2021/1616111715_im703nz-logo-large-2-7332.png,IM 70.3 NZ,Pacific/Auckland,metric,https://track.rtrt.me/e/IRM-NEWZEALAND703-2023,3744,0,,660,,"Taupo, New Zealand","['-38.68682', '176.0696']",NZ
838,IRM-NMB703-2023,2023-03-05,ISUZU IRONMAN® 70.3® Nelson Mandela Bay,1677989700,/_imgss/events/IRM-NMB703-2022/1648573920_im22-ironman-703-nelson-mandela-2022-isuzu-pos-large-2579.png,IM 70.3 NMB,Africa/Johannesburg,metric,https://track.rtrt.me/e/IRM-NMB703-2023,3748,0,,1101,,"Port Elizaberth EC, South Africa","['-33.918', '25.5701']",
839,IRM-SOUTHAFRICA-2023,2023-03-05,ISUZU IRONMAN® African Championship South Africa,1677990600,/_imgss/events/IRM-SOUTHAFRICA-2023/1673987337_ironman-african-championship-rac-5767.png,IM South Africa,Africa/Johannesburg,metric,https://track.rtrt.me/e/IRM-SOUTHAFRICA-2023,3747,0,,641,,"South Africa, South Africa","['-33.96257', '25.62335']",ZA
840,IRM-URUGUAY703-2023,2023-03-05,IRONMAN® 70.3® Punta del Este,1678010400,/_imgss/events/IRM-URUGUAY703-2018/1521043331_app-logo-h-1000500-punta-6906.png,IM 70.3 Uruguay,America/Montevideo,metric,https://track.rtrt.me/e/IRM-URUGUAY703-2023,3746,0,,668,,"Punta del Este MA, Uruguay","['-34.943138', '-54.929664']",UY
841,IRM-PANAMA703-2023,2023-03-12,IRONMAN® 70.3® Panama,1678620900,/_imgss/events/IRM-PANAMA703-2023/1678129440_im22-703panama-logo-cropped-large-7505.png,IM 70.3 Panama,America/Panama,metric,https://track.rtrt.me/e/IRM-PANAMA703-2023,3749,0,,776,,"Panama City 8, Panama","['9', '-79.5']",
842,IRM-LANZAROTE703-2023,2023-03-18,Club La Santa IRONMAN® 70.3® Lanzarote,1679124600,/_imgss/events/IRM-703LANZAROTE-2018/1538491421_ironman-703---logo-for-the-back-6343.jpg,IM 70.3 Lanzarote,Atlantic/Canary,metric,https://track.rtrt.me/e/IRM-LANZAROTE703-2023,3750,0,,996,,"Arrecife, Spain","['28.95835', '-13.54867']",ES
843,IRM-PUERTORICO703-2023,2023-03-19,IRONMAN® 70.3® Puerto Rico,1679223300,/_imgss/events/IRM-PUERTORICO703-2022/1644360925_logopng-large-5405.png,IM 70.3 Puerto Rico,America/Puerto_Rico,metric,https://track.rtrt.me/e/IRM-PUERTORICO703-2023,3751,0,,550,,"San Juan PR, Puerto Rico","['18.38475', '-66.05481']",
844,IRM-SANJUAN-2023,2023-03-26,IRONMAN® 70.3® San Juan,1679828400,/_imgss/events/IRM-SANJUAN-2023/1678159811_22-9322.png,IM 70.3 San Juan,America/Argentina/San_Juan,metric,https://track.rtrt.me/e/IRM-SANJUAN-2023,3755,0,,890,,"San Juan J, Argentina","['-31.5375', '-68.53639']",AR
845,IRM-ACAPULCO703-2023,2023-03-26,Mazda IRONMAN® 70.3® Acapulco,1679836800,/_imgss/events/IRM-ACAPULCO703-2022/1646975979_acapulco-rs-8109.png,IM 70.3 Acapulco,America/Mexico_City,metric,https://track.rtrt.me/e/IRM-ACAPULCO703-2023,3754,0,,840,,"Acapulco GRO, Mexico","['16.86287', '-99.88701']",
846,IRM-GEELONG703-2023,2023-03-26,IRONMAN® 70.3® Geelong,1679776200,/_imgss/events/IRM-GEELONG703-2021/1612159432_ironman-703-geelong-web-large-8928.png,IM 70.3 GEELONG,Australia/Melbourne,metric,https://track.rtrt.me/e/IRM-GEELONG703-2023,3753,0,,1180,,"Geelong VIC, Australia","['-38.14853', '144.36018']",AU
847,IRM-DAVAO703-2023,2023-03-26,ALVEO IRONMAN® 70.3® Davao,1679782200,/_imgss/events/IRM-DAVAO703-2023/1679709515_alveo-im703davao-wpetron-logo-80-1225.png,IM 70.3 Davao,Asia/Manila,metric,https://track.rtrt.me/e/IRM-DAVAO703-2023,3752,0,,924,,"Davao City, Philippines","['7.06574', '125.61078']",PH
848,IRM-OCEANSIDE703PRO-2023,2023-04-01,Athletic Brewing IRONMAN® 70.3® Oceanside PRO,1680356400,/_imgss/events/IRM-OCEANSIDE703-2023/1676478156_im23-703oceanside-southwesttricl-3919.png,IM 70.3 Oceanside PRO,America/Los_Angeles,standard,https://track.rtrt.me/e/IRM-OCEANSIDE703PRO-2023,4730,,,2302,,"Oceanside CA, United States","['33.19715', '-117.38058']",US
849,IRM-OCEANSIDE703-2023,2023-04-01,Athletic Brewing IRONMAN® 70.3® Oceanside,1680356400,/_imgss/events/IRM-OCEANSIDE703-2023/1676478156_im23-703oceanside-southwesttricl-3919.png,IM 70.3 Oceanside,America/Los_Angeles,standard,https://track.rtrt.me/e/IRM-OCEANSIDE703-2023,38265,0,,2282,,"Oceanside CA, United States","['33.19715', '-117.38058']",US
